お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
vstResourcesTime,Vessel Statistics [vst],RESOURCES / TIME,リソース/時間,
vstRoll,Vessel Statistics [vst],Roll,ロール,
vstSize,Vessel Statistics [vst],Size (WxDxH):,サイズ(WxDxH):,
vstThrust,Vessel Statistics [vst],Thrust:,スラスター:,
vstThrusterRCS,Vessel Statistics [vst],THRUSTERS / RCS,スラスター/ RCS,
vstThrusters,Vessel Statistics [vst],Thrusters:,スラスタ数:,
vstThrustersBackFront,Vessel Statistics [vst],Back / Front,後/前,
vstThrustersLeftRight,Vessel Statistics [vst],Left / Right,左/右,
vstThrustersTopDown,Vessel Statistics [vst],Top / Down,上/下,
vstTitle,Vessel Statistics [vst],Statistics,統計,
vstTorque,Vessel Statistics [vst],Torque:,トルク:,
vstTotalProdTime,Vessel Statistics [vst],Total Production Time:,総生産時間:,
vstTriCount,Vessel Statistics [vst],Triangle Count:,トライアングルカウント:,
vstType,Vessel Statistics [vst],Type:,種類:,
vstUnlockLevel,Vessel Statistics [vst],Unlock Level:,アンロックレベル:,
vstVentilators,Vessel Statistics [vst],Ventilators:,酸素充填装置:,
vstWarpDrive,Vessel Statistics [vst],Warp Drive:,ワープドライブ:,
vstWarpDriveTanks,Vessel Statistics [vst],Warp Drive Tanks:,ワープドライブ・タンク:,
vstYaw,Vessel Statistics [vst],Yaw,ヨー,
15mmBullet,Weapon / Tool - Ammo,15mm Bullet,15mm弾,
30mmBullet,Weapon / Tool - Ammo,30mm Bullet,30mm弾,
ArtilleryRocket,Weapon / Tool - Ammo,Artillery Shell HV,大型キャノン砲弾HV,
BioFuel,Weapon / Tool - Ammo,Bio Fuel,バイオ燃料,
DrillCharge,Weapon / Tool - Ammo,Drill Charge,ドリルチャージ,
FastRocket,Weapon / Tool - Ammo,130mm MSL,135mm・ミサイル,
FastRocketBA,Weapon / Tool - Ammo,155mm H-MSL,155mm・追尾型ミサイル,
FastRocketHoming,Weapon / Tool - Ammo,135mm H-MSL,135mm・追尾型ミサイル,
FastRocketMS,Weapon / Tool - Ammo,150mm H-MSL,150mm・追尾型ミサイル,
FillerCharge,Weapon / Tool - Ammo,F&F Charge,F&Fチャージ(土地改良ツール),
FlakRocket,Weapon / Tool - Ammo,Flak Shell BA,対空砲弾BA,
FlakRocketMS,Weapon / Tool - Ammo,Flak Shell CV,対空砲弾CV,
IONCannonCharge,Weapon / Tool - Ammo,ION Charge,イオンチャージ,
IONCannonCharge2,Weapon / Tool - Ammo,ION Charge,イオンチャージ2,
LargeRocket,Weapon / Tool - Ammo,165mm MSL,165mm・ミサイル,
LargeRocketMS,Weapon / Tool - Ammo,160mm MSL,160mm・ミサイル,
MultiCharge,Weapon / Tool - Ammo,Multi Charge,マルチ・チャージ,
PlasmaCannonChargeSS,Weapon / Tool - Ammo,Pl.Charge SV,Pl.チャージ SV,
PulseLaserChargeBA,Weapon / Tool - Ammo,Ls.Charge BA,Ls.チャージ BA,
PulseLaserChargeMS,Weapon / Tool - Ammo,Ls.Charge CV,Ls.チャージ CV,
PulseLaserChargeMSWeapon,Weapon / Tool - Ammo,Ls.Charge II CV,Ls.チャージ 2CV,
PulseLaserChargeSS,Weapon / Tool - Ammo,Ls.Charge SV,Ls.チャージ SV,
RailgunBullet,Weapon / Tool - Ammo,Railgun Bullet,レールガンの弾丸,
TurretBAPlasmaCharge,Weapon / Tool - Ammo,Pl.Charge BA,Pl.チャージ BA,
TurretGVPlasmaCharge,Weapon / Tool - Ammo,Pl.Charge HV,Pl.チャージ BA/HV,
TurretMSPlasmaCharge,Weapon / Tool - Ammo,Pl.Charge CV,Pl.チャージ CV,
AssaultRifle,Weapon / Tool - Player,Assault Rifle,アサルト・ライフル,
AssaultRifleDebug,Weapon / Tool - Player,Assault Rifle (Debug),アサルト・ライフル (Debug),
AssaultRifleT2,Weapon / Tool - Player,Assault Rifle (T2),アサルト・ライフル(T2),
Chainsaw,Weapon / Tool - Player,Chainsaw,チェーン・ソウ,
ChangeTool,Weapon / Tool - Player,Change & Rotate Tool,交換&変形ツール,
ColorTool,Weapon / Tool - Player,Color Tool,ペイント・ツール,
Drill,Weapon / Tool - Player,Drill,ドリル,
DrillT0,Weapon / Tool - Player,Mechanical Drill,ドリル(T1),
DrillT2,Weapon / Tool - Player,Drill (T2),ドリル(T2),
Explosives,Weapon / Tool - Player,Explosive Device,時限式爆弾,
Fillertool,Weapon / Tool - Player,Filler & Flatten Tool,土地改良ツール,
Flashlight,Weapon / Tool - Player,Flashlight,フラッシュ・ライト,
LaserPistol,Weapon / Tool - Player,Laser Pistol,レーザー・ガン,
LaserPistolT2,Weapon / Tool - Player,Laser Pistol (T2),レーザー・ガン(Ｔ2),
LaserRifle,Weapon / Tool - Player,Laser Rifle,レーザー・ライフル,
Minigun,Weapon / Tool - Player,Minigun,ミニガン,
MultiTool,Weapon / Tool - Player,Multi Tool,マルチ・ツール(T1),
MultiToolT2,Weapon / Tool - Player,Multi Tool (T2),マルチ・ツール(T2),
Pistol,Weapon / Tool - Player,Projectile Pistol,ハンドガン,
PistolT2,Weapon / Tool - Player,Projectile Pistol (T2),ハンドガン(T2),
PulseRifle,Weapon / Tool - Player,Pulse Rifle,パルス・ライフル,
RocketLauncher,Weapon / Tool - Player,Rocket Launcher,ロケットランチャー,
RocketLauncherDebug,Weapon / Tool - Player,Rocket Launcher (Debug),ロケットランチャー (Debug),
RocketLauncherT2,Weapon / Tool - Player,Rocket Launcher (T2),ロケットランチャー (T2),
ScifiCannon,Weapon / Tool - Player,Plasma Cannon,プラズマキャノン,
Shotgun,Weapon / Tool - Player,Shotgun,ショットガン,
Shotgun2,Weapon / Tool - Player,Shotgun (T2),ショットガン(T2),
Sniper,Weapon / Tool - Player,Sniper Rifle,スナイパー・ライフル,
Sniper2,Weapon / Tool - Player,Sniper (T2),スナイパー・ライフル(T2),
TextureTool,Weapon / Tool - Player,Texture & Symbol Tool,テクスチャ&シンボル・ツール,
DrillAttachment,Weapon / Tool - Structure,Drill Module T1 - Mechanical,ドリルモジュールＴ1 - mechanisch,
DrillAttachmentT2,Weapon / Tool - Structure,Drill Module T2 - Laser,ドリルモジュールＴ2 - Laser,
DrillAttachmentT2Weapon,Weapon / Tool - Structure,Drill Module T2,ドリルモジュールＴ2,
DrillAttachmentWeapon,Weapon / Tool - Structure,Drill Module T1,ドリルモジュールＴ1,
MinigunSSWeapon,Weapon / Tool - Structure,Gatling Gun,AX-12 ガトリング,
PlasmaCannonSSWeapon,Weapon / Tool - Structure,Plasma Cannon,プラズマ・キャノン,
PulseLaserMSWeapon,Weapon / Tool - Structure,Pulse Laser,パルス・レーザー,
PulseLaserSSWeapon,Weapon / Tool - Structure,Pulse Laser,パルス・レーザー,
RailgunSSWeapon,Weapon / Tool - Structure,Rail Gun,レールガン,
RocketLauncherMSWeapon,Weapon / Tool - Structure,Rocket Launcher,ロケットランチャー,
RocketLauncherSSHomingWeapon,Weapon / Tool - Structure,Rocket Launcher (H-MSL),ロケットランチャー (追尾型ミサイル),
RocketLauncherSSWeapon,Weapon / Tool - Structure,Rocket Launcher,ロケットランチャー,
SawAttachment,Weapon / Tool - Structure,Harvester Module,ハーベストモジュール,
SawAttachmentWeapon,Weapon / Tool - Structure,Harvester Module,ハーベストモジュール,
SentryGun01,Weapon / Tool - Structure,Sentry Gun 1 (Alien),セントリーガン (エイリアン),
SentryGun02,Weapon / Tool - Structure,Sentry Gun 2 (Alien),セントリーガン (エイリアン),
SentryGun03,Weapon / Tool - Structure,Sentry Gun 3 (Player),セントリーガン (プレイヤー),
SentryGun04,Weapon / Tool - Structure,Sentry Gun 4 (Alien),セントリーガン (エイリアン),
sentryGunSingle,Weapon / Tool - Structure,Cannon,キャノン,
TurretBaseArtillery,Weapon / Tool - Structure,Artillery Turret,大型キャノンタレット,
TurretBaseArtilleryWeapon,Weapon / Tool - Structure,Artillery Turret,大型キャノンタレット,
TurretBaseCannon,Weapon / Tool - Structure,Cannon Turret,キャノン・タレット,
TurretBaseCannonOld,Weapon / Tool - Structure,Cannon Turret (obsolete),キャノン・タレット(旧式),
TurretBaseCannonWeapon,Weapon / Tool - Structure,Cannon Turret,キャノン・タレット,
TurretBaseFlak,Weapon / Tool - Structure,Flak Turret,対空砲,
TurretBaseFlakWeapon,Weapon / Tool - Structure,Flak Turret,対空砲,
TurretBaseMinigun,Weapon / Tool - Structure,Minigun Turret,ミニガン・タレット,
TurretBaseMinigunWeapon,Weapon / Tool - Structure,Minigun Turret,ミニガン・タレット,
TurretBasePlasma,Weapon / Tool - Structure,Plasma Turret,プラズマ・タレット,
TurretBasePlasmaWeapon,Weapon / Tool - Structure,Plasma Turret,プラズマ・タレット,
TurretBasePulseLaser,Weapon / Tool - Structure,Pulse Laser Turret,パルスレーザー・タレット,
TurretBasePulseLaserWeapon,Weapon / Tool - Structure,Pulse Laser Turret,パルスレーザー・タレット,
TurretBaseRocket,Weapon / Tool - Structure,Rocket Turret,ロケット・タレット,
TurretBaseRocketOld,Weapon / Tool - Structure,Rocket Turret (obsolete),ロケット・タレット(旧式),
TurretBaseRocketWeapon,Weapon / Tool - Structure,Rocket Turret,ロケット,
TurretEnemyLaser,Weapon / Tool - Structure,Laser Turret (Alien),レーザー・タレット,
TurretGVArtillery,Weapon / Tool - Structure,Artillery Turret,大型キャノン・タレット,
TurretGVArtilleryWeapon,Weapon / Tool - Structure,Artillery Cannon,大型キャノン,
TurretGVDrill,Weapon / Tool - Structure,Drill Turret,ドリル・タレット,
TurretGVDrillWeapon,Weapon / Tool - Structure,Drill Turret,ドリル・タレット,
TurretGVMinigun,Weapon / Tool - Structure,Minigun Turret,ミニガン・タレット,
TurretGVMinigunWeapon,Weapon / Tool - Structure,Gatling Gun,ガトリングガン,
TurretGVPlasma,Weapon / Tool - Structure,Plasma Turret,プラズマ・タレット,
TurretGVPlasmaWeapon,Weapon / Tool - Structure,Plasma Cannon,プラズマ・キャノン,
TurretGVRocket,Weapon / Tool - Structure,Rocket Turret,ロケット・タレット,
TurretGVRocketWeapon,Weapon / Tool - Structure,Rocket Launcher,ロケットランチャー,
TurretIONCannon,Weapon / Tool - Structure,Ion Cannon - Planet (Alien),イオン・キャノン(惑星),
TurretIONCannon2,Weapon / Tool - Structure,Ion Cannon - Space (Alien),イオン・キャノン(宇宙),
TurretMSArtillery,Weapon / Tool - Structure,Artillery Turret,大型キャノン・タレット,
TurretMSArtilleryWeapon,Weapon / Tool - Structure,Artillery Turret,大型キャノン・タレット,
TurretMSCannon,Weapon / Tool - Structure,Cannon Turret,キャノン・タレット,
TurretMSCannonWeapon,Weapon / Tool - Structure,Cannon Turret,キャノン・タレット,
TurretMSDrill,Weapon / Tool - Structure,Drill Turret,ドリル・タレット,
TurretMSDrillWeapon,Weapon / Tool - Structure,Drill Turret,ドリル・タレット,
TurretMSFlak,Weapon / Tool - Structure,Flak Turret,対空砲,
TurretMSFlakWeapon,Weapon / Tool - Structure,Flak Turret,対空砲,
TurretMSMinigun,Weapon / Tool - Structure,Minigun Turret,ミニガン・タレット,
TurretMSMinigunWeapon,Weapon / Tool - Structure,Minigun Turret,ミニガン・タレット,
TurretMSPlasma,Weapon / Tool - Structure,Plasma Turret,プラズマ・タレット,
TurretMSPlasmaWeapon,Weapon / Tool - Structure,Plasma Turret,プラズマ・タレット,
TurretMSPulseLaser,Weapon / Tool - Structure,Pulse Laser Turret,パルスレーザー・タレット,
TurretMSPulseLaserWeapon,Weapon / Tool - Structure,Pulse Laser Turret,パルスレーザー・タレット,
TurretMSRocket,Weapon / Tool - Structure,Rocket Turret,ロケット・タレット,
TurretMSRocketWeapon,Weapon / Tool - Structure,Rocket Turret,ロケット・タレット,
WeaponMS01,Weapon / Tool - Structure,Rocket Launcher,ロケットランチャー,
WeaponMS02,Weapon / Tool - Structure,Pulse Laser,パルスレーザー,
WeaponSV01,Weapon / Tool - Structure,Rail Gun,レールガン,
WeaponSV02,Weapon / Tool - Structure,Gatling Gun,ガトリングガン,
WeaponSV03,Weapon / Tool - Structure,Pulse Laser,パルスレーザー,
WeaponSV04,Weapon / Tool - Structure,Plasma Cannon,プラズマキャノン,
WeaponSV05,Weapon / Tool - Structure,Rocket Launcher,ロケットランチャー,
WeaponSV05Homing,Weapon / Tool - Structure,Rocket Launcher (Homing),ロケットランチャー(追尾型),
weAcidRainHeavy,Weather Name,Heavy Acid Rain,酸の雨,
weClear,Weather Name,Clear,晴天,
weClouds,Weather Name,Cloudy,曇り,
weCloudsDark,Weather Name,Overcast,雨曇,
weCloudsLight,Weather Name,Partly Cloudy,曇 時々 晴,
weCloudsMedium,Weather Name,Mostly Cloudy,晴 時々 曇,
weColdWave,Weather Name,Cold Wave,寒波,
weFireRain,Weather Name,Fire Rain,炎の雨,
weFog,Weather Name,Foggy,霧,
weFogRadiation,Weather Name,Radiated Fog,放射線の霧,
weFogRadiationGreen,Weather Name,Radiated Fog,放射線の霧,
weFogRadiationPurple,Weather Name,Radiated Fog,放射線の霧,
weHail,Weather Name,Hail,雹,
weHeatWave,Weather Name,Heat Wave,熱波,
weMeteorFireRain,Weather Name,Meteor Showers,流星群,
weRainHeavy,Weather Name,Heavy Rain,豪雨,
weRainMedium,Weather Name,Medium Rain,雨,
weRockfall,Weather Name,Rockfall,落石,
weSnowHeavy,Weather Name,Heavy Snow,豪雪,
weSnowLight,Weather Name,Light Snow,雪(Light),
weSnowMedium,Weather Name,Medium Snow,雪(Medium),
weStorm,Weather Name,Storm,嵐,
weWind,Weather Name,Wind,風,
mnuRentServer,Menu [mnu],Setup Your Own Server,サーバの設定,
mapPrivate,Map Window [map],Private,プライベート,
mapPublic,Map Window [map],Public,パブリック,
AmmoInfinite,Weapon / Tool - Ammo,Unlimited,無制限,
mnuLocalMP,Menu [mnu],Coop Server,Co-opサーバー,
mnuPing,Menu [mnu],Servers with Ping:,サーバーPing:,
mnuLocalMPTitle,Menu [mnu],CONFIGURATION OF LOCAL COOP SERVER,ローカルCo-opサーバの設定,
mnuLoadMP,Menu [mnu],Local Coop,ローカルCo-op,
DecoStoneBlocks,Deco Block,Stone Statues (Deco),石造(Deco),
lpsHunt,LoadScreen Pic Subtitle [lps],Hunt wild animals to fill your food storage,食料を確保するために野生動物を狩る,
lpsJetpack,LoadScreen Pic Subtitle [lps],Be well equipped before you venture into space with your spacesuit,宇宙で冒険する前にあなたのarmorを宇宙の極低温に耐えられるように備えましょう,
lpsBaseAlienPlanet,LoadScreen Pic Subtitle [lps],Be well prepared when you build your base on a hostile alien planet,敵対的なエイリアンが跋扈する惑星に基地を建設するときはよく準備しておきましょう,
cplThrusters,Control Panel [cpl],Thrusters,スラスター,
O2Capacity,General GUI,O2 Capacity,酸素容量,
FuelCapacity,General GUI,Fuel Capacity,燃料容量,
DoorVerticalGlassArmored,Block Device,Automatic Armored Door 2 (vert),垂直式装甲型自動ドア2,
DoorInterior01Armored,Block Device,Automatic Armored Door 2,装甲型自動ドア2,
DoorInterior02Armored,Block Device,Automatic Armored Door 3,装甲型自動ドア3,
All,Registry Window [rgw],All,全て,
mapShowOnMap,Map Window [map],Show On Map,マップに表示,
mapEdit,Map Window [map],Edit,エディット,
mapRemove,Map Window [map],Remove,削除,
mapSharePublic,Map Window [map],Share (public),共有 (public),
mapShareFaction,Map Window [map],Share (faction),共有 (faction),
mapCopyToList,Map Window [map],Copy to private list,プライベートリストにコピー,
mapShareWait,Map Window [map],Wait for {0}s to share again,{0}が再び共有するのを待つ,
ttwLevel,Tech Tree Window [ttw],Level {0},レベル{0},
ttwBase,Tech Tree Window [ttw],Base,ベース,
ttwCapitalVessel,Tech Tree Window [ttw],Capital Vessel,キャピタル,
ttwSmallVessel,Tech Tree Window [ttw],Small Vessel,小型艦,
ttwHoverVessel,Tech Tree Window [ttw],Hover Vessel,ホバー,
ttwMisc,Tech Tree Window [ttw],Misc,その他,
ttwTools,Tech Tree Window [ttw],Tools,ツール,
